"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","Latitude","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocatioin"
"2018","AL","Alabama","Lauderdale","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","78.7",,,"77.8","79.4","92,387","34.90142261","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.65453895 34.90142261)"
"2018","AL","Alabama","Lauderdale","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","76.4",,,"75.4","77.3","92,387","34.90142261","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-87.65453895 34.90142261)"
"2018","AL","Alabama","Lawrence","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","78.2",,,"77.4","79.0","32,957","34.52187809","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.31069915 34.52187809)"
"2018","AL","Alabama","Lawrence","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","75.7",,,"74.8","76.6","32,957","34.52187809","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-87.31069915 34.52187809)"
"2018","AL","Alabama","Lee","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","77.6",,,"76.5","78.4","163,941","32.60099295","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-85.35534328 32.60099295)"
"2018","AL","Alabama","Lee","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","78.3",,,"77.5","79.0","163,941","32.60099295","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-85.35534328 32.60099295)"
"2018","AL","Alabama","Limestone","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","77.3",,,"76.4","78.1","96,174","34.81026419","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-86.98204165 34.81026419)"
"2018","AL","Alabama","Limestone","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","75.9",,,"75.0","76.8","96,174","34.81026419","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-86.98204165 34.81026419)"
"2018","AL","Alabama","Lowndes","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","83.1",,,"82.5","83.8","9,974","32.15495765","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-86.65008014 32.15495765)"
"2018","AL","Alabama","Lowndes","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","81.2",,,"80.4","81.9","9,974","32.15495765","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-86.65008014 32.15495765)"
