"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2022","ND","North Dakota","Logan","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.5",,,"72.5","80.5","1,855","1,426","38047","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-99.4770599172586 46.4572748811242)"
"2022","NC","North Carolina","Caswell","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","75.6",,,"71.4","79.5","22,614","18,570","37033","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-79.333539673756 36.393167608535)"
"2022","OH","Ohio","Fairfield","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","76.3",,,"72.6","79.7","162,898","124,397","39045","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-82.6306572277557 39.7516133054728)"
"2022","NC","North Carolina","Lenoir","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","77.3",,,"73.2","81.1","54,633","42,248","37107","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-77.6409595927808 35.2387324403638)"
"2022","ND","North Dakota","Slope","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.7",,,"73.9","81.4","672","538","38087","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-103.460105506428 46.4472025925483)"
"2022","NC","North Carolina","Craven","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.0",,,"73.3","80.7","100,874","79,170","37049","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-77.0916632156451 35.1237779325124)"
"2022","NC","North Carolina","Vance","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","80.3",,,"76.7","83.5","42,138","32,110","37181","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-78.4079704512629 36.3651057008362)"
"2022","ND","North Dakota","Kidder","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","71.2",,,"66.6","75.6","2,393","1,862","38043","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-99.7801135265319 46.9800645895012)"
"2022","NC","North Carolina","Guilford","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.6",,,"74.1","81.0","546,101","427,983","37081","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-79.7889017999481 36.079488692501)"
"2022","OH","Ohio","Lawrence","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","78.7",,,"75.4","81.7","56,653","44,509","39087","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-82.536984256161 38.5987545151818)"
"2022","NC","North Carolina","Columbus","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","76.5",,,"72.2","80.3","49,885","39,531","37047","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-78.6551028425544 34.2655540076522)"
"2022","ND","North Dakota","Towner","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","71.9",,,"67.6","75.8","2,064","1,612","38095","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-99.2456367154064 48.6856062470282)"
"2022","ND","North Dakota","McIntosh","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.7",,,"73.5","81.4","2,475","1,965","38051","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-99.4415001719655 46.1117371127259)"
"2022","ND","North Dakota","Eddy","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","72.2",,,"67.8","76.6","2,314","1,733","38027","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-98.9018655003493 47.7175022446221)"
"2022","ND","North Dakota","Bowman","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","70.7",,,"66.2","75.0","2,894","2,191","38011","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-103.520447958008 46.1126064758621)"
