"Year","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPop18plus","TotalPopulation","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","58057","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.9",,,"74.1","79.6","110","132","POINT (-97.2675531 46.425466)","58057","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57799","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","63.5",,,"57.7","68.9","666","675","POINT (-103.8725049 44.4981523)","57799","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58058","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.9",,,"74.2","81.4","93","130","POINT (-96.9716066 46.1805845)","58058","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58032","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.7",,,"73.9","81.5","542","678","POINT (-97.6547614 46.0764403)","58032","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58103","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","75.1",,,"72.2","78.0","37,543","46,754","POINT (-96.8224596 46.8563474)","58103","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57766","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","79.0",,,"75.3","82.3","193","259","POINT (-103.1775351 43.3560958)","57766","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58001","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","75.5",,,"71.4","79.2","187","244","POINT (-96.7408119 46.4483657)","58001","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58220","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.6",,,"72.9","80.0","1,753","2,272","POINT (-97.7420269 48.7976121)","58220","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58059","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","74.1",,,"71.0","77.0","1,197","1,697","POINT (-97.1435693 46.832371)","58059","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58033","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.2",,,"73.4","80.6","271","347","POINT (-97.9195596 46.4347001)","58033","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
