"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2021","LA","Louisiana","Iberville","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","79.2",,,"74.7","83.4","29,824","22047","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-91.3658718 30.2706526)"
"2021","NV","Nevada","Douglas","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","65.2",,,"59.5","70.8","49,870","32005","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-119.6090191 38.9051292)"
"2021","KY","Kentucky","Bell","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","72.7",,,"67.4","77.8","23,858","21013","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-83.680718 36.7289281)"
"2021","IL","Illinois","Coles","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","76.3",,,"70.9","81.2","46,765","17029","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-88.220782 39.5136797)"
"2021","KY","Kentucky","Hopkins","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","73.1",,,"68.3","77.7","45,138","21107","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-87.5421956 37.3110702)"
"2021","CO","Colorado","Hinsdale","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","71.8",,,"66.2","76.9","781","08053","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-107.3839736 37.8115187)"
"2021","AL","Alabama","Shelby","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","77",,,"72.5","81.0","226,902","01117","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-86.6780894 33.2630428)"
"2021","MN","Minnesota","Hubbard","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","67.9",,,"62.5","72.7","21,715","27057","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-94.9132898 47.0955506)"
"2021","MO","Missouri","Ray","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","75.9",,,"71.1","80.4","23,008","29177","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-93.9957462 39.3084005)"
"2021","AL","Alabama","Monroe","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","79.7",,,"74.8","83.7","19,648","01099","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.3832656 31.5803324)"
