"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2023","TX","Texas","Tyler","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","72.1",,,"67.7","76.1","20,382","16,475","48457","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-94.3765374260976 30.7714339514186)"
"2023","VA","Virginia","Nelson","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","76.9",,,"73.0","80.7","14,705","12,117","51125","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-78.8862994754463 37.7872124006606)"
"2023","VA","Virginia","Buckingham","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","79.7",,,"76.2","82.9","16,978","13,997","51029","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-78.5283152919207 37.5719688623927)"
"2023","VA","Virginia","Smyth","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","75.9",,,"71.6","79.9","29,216","23,575","51173","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-81.5375981611673 36.8438123739006)"
"2023","WY","Wyoming","Niobrara","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","71.8",,,"67.4","75.9","2,354","1,927","56027","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-104.475677641739 43.0562528774242)"
"2023","VA","Virginia","Lynchburg","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","78.5",,,"74.9","82.0","79,535","64,016","51680","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-79.1900223169948 37.4000094023824)"
"2023","WI","Wisconsin","Manitowoc","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","78.4",,,"75.2","81.6","81,331","65,081","55071","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.8095945027193 44.1199592891552)"
"2023","WA","Washington","Mason","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","72.4",,,"68.8","75.7","68,389","55,214","53045","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-123.192028806629 47.3481789974584)"
"2023","WA","Washington","Snohomish","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","71.9",,,"69.5","74.1","844,761","660,415","53061","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-121.697355744443 48.047577980212)"
"2023","WA","Washington","Stevens","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","72.9",,,"69.6","75.8","48,837","38,686","53065","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-117.855286410546 48.3988656943295)"
"2023","WV","West Virginia","Nicholas","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","81.0",,,"77.5","84.4","24,169","19,286","54067","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-80.7995158023614 38.2916433145159)"
"2023","WI","Wisconsin","Trempealeau","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.7",,,"73.9","81.1","30,899","22,713","55121","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-91.3584214806691 44.3039450660913)"
"2023","VA","Virginia","Russell","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","79.2",,,"75.5","82.5","25,477","20,555","51167","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-82.0959945777944 36.9339342856189)"
"2023","WI","Wisconsin","Sauk","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","74.4",,,"70.4","78.1","65,920","51,378","55111","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-89.9480570627182 43.4268791076475)"
"2023","WV","West Virginia","Wood","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","79.3",,,"75.6","82.6","83,052","65,756","54107","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-81.5149955199239 39.2111889760022)"
